ID Cliente,Denominazione,P. IVA,Codice Fiscale,Indirizzo,Città,Cap,Provincia,Indirizzo Completo,Codice SDI,Referenti,Pec,Referente Rollup (from Referenti),Email,Ordini,Conta Ordini,Valore Ordini,Fatture Attive,Progetti,To-do List,Potenziali,Competitor,Servizi,Pagamenti,Appuntamenti,Incarichi,Telefono,Attività,Socialia temp,To-do List copy,P.IVA/C.F,pivacodicefiscale,Table 29,Link Dropbox,Record ID Airtable
Start 4.0,CENTRO DI COMPETENZA START 4.0,02586330991,02586330991,CORSO FERDINANDO MARIA PERRONE 24,GENOVA,16152,GE,"CORSO FERDINANDO MARIA PERRONE 24, 16152 GENOVA (GE)",X2PH38J,"Uberto Cremonini,Nagwa Ibrahim,Andrea Visentin",,"Uberto Cremonini, Nagwa Ibrahim, Andrea Visentin",uberto.cremonini@start4-0.it,"24-0011,24-0018,23-0075,24-0031,24-0040,24-0041,25-0014",7,"€25560,00","25-15,25-19,25-25",,"06. Pubblicazione,05. Approvazione Finale Cliente,04. Invio al Cliente,03. Montaggio,02. Registrazione da Remoto,01. Appuntamento Registrazione,04. Produzione dei tappetini sonori,03. Produzione Intro e Outro,02. Composizione e registrazione Sigla,01. Analisi Brief creativo e raccolta reference,03. Sviluppo di un template modulare per le copertine episodi,02. Progettazione della cover principale,01. Analisi Brief creativo e raccolta reference,10. Approvazione finale,09. Invio Proposte Cliente,08. Identità Grafica,07. Identità Sonora ,05. Ricezione Materiale Cliente,01. Restituzione questionario,06. Creazione Bozza Script,04. Invio mail di riepilogo,03. Kick-off,02. Studio del questionario",,,,"Saldo 24-0018 Start 4.0,Saldo 24-0031 SPINE,Saldo 24-0031 MATTIA,Saldo  24-0018 SPINE,Saldo  24-0018 Start 4.0,Saldo 25-0014 RALUCA,Saldo 25-0014 DENURCHISN,Saldo 25-0014 PIAZZAE","Riprese per corso A2A,Call con A2a per scorm,Riprese Corso @ CNR,Riprese Sede A2A,Riprese ",24-11 GABRI,,"Sviluppo Teaser moduli,Sviluppo file scorm,Video-trailer control room,Modifiche Video,Registrazione,Identità Sonora,Identità Grafica,Start-Up Podcast",,25/07/17 - Start 4.0 / Questionario,02586330991,02586330991,,https://www.dropbox.com/scl/fo/9f2843hd2v1e1c2iv95k3/AEE9pBGbbb0n4xnqd9-QhBo?rlkey=a1jzvvmlkpulpbanikd870o39&dl=0,reckl2xobVLbE5fd8
Studio Condello Borsei,STUDIO CBD SRL,02612880993,02612880993,PASSO FRUGONI 4/12,GENOVA,16121,GE,"PASSO FRUGONI 4/12, 16121 GENOVA (GE)",M5UXCR1,Silvia Condello,,Silvia Condello,info@studiocondelloborsei.it,,0,"€0,00",,,,,,,,,,,,,,02612880993,02612880993,,,recohxLThG4fP1EmD
TARA BIANCA ,Associazione TARA BIANCA,, 95137920104,Via Bernardo Castello 3/9,Genova ,16121,Ge,"Via Bernardo Castello 3/9, 16121 Genova  (Ge)",,Matteo  Laffranchi,,Matteo  Laffranchi,segreteria@tarabianca.org,"24-0003,25-0012",2,"€11240,00","24-7,25-2,25-4,25-10",,,,,,"Anticipo  24-0003 TARA BIANCA ,Saldo a consegna sito  24-0003 TARA BIANCA ,Rata 1/4  24-0003 TARA BIANCA ,Rata 2/4 24-0003 TARA BIANCA ,Rata 3/4 24-0003 TARA BIANCA ,Rata 4/4 24-0003 TARA BIANCA ",Assesment finale,,010232434390,,,, 95137920104, 95137920104,,,rec1Tah4TvXRaMgd5
Tennis Club Genova 1893,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,rec6YBLESncSnkqru
Teseo Rooms & Relax,PRO.CO.GEN. SRL,02001800990,,VIA DI BRERA 2/9,GENOVA,16121,GE,"VIA DI BRERA 2/9, 16121 GENOVA (GE)",KRRH6B9,Roberto Riggi,,Roberto Riggi,info@teseogenova.com,,0,"€0,00",,,,,,,,,,,,,,02001800990,02001800990,,,recLhgvcltUlE3CJM
Transmare,Transmare,,,Via Aurelia 322,Vado Ligure,17047,SV,"Via Aurelia 322, 17047 Vado Ligure (SV)",,,,,,24-0034,1,"€2460,00",24-21,,,,,,Saldo 24-0034 Transmare,,,,,,,,,,,recT5IrOIr4xEO81z
TRI S.P.A.,TRI S.P.A.,,,Via Piave 96A,Vado Ligure,17047,SV,"Via Piave 96A, 17047 Vado Ligure (SV)",,,,,,,0,"€0,00",,,,,,,,,,,,,,,,,,recJbDNvuFjCnMPYP
Unicef,,,,,,,,",   ()",,,,,,,0,"€0,00",,,,checked,BlueLime adv,"Servizio foto shooting per calendario
",,,,,,,,,,,,recdYNydmJistk0Xn
Università degli Studi di Genova,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recKxvmP6qONsyeCV
Vernazza Autogru,Vernazza Autogru,,,Str. di Scorrimento Veloce 11,Vado Ligure,17047,SV,"Str. di Scorrimento Veloce 11, 17047 Vado Ligure (SV)",,,,,,24-0033,1,"€2460,00",24-22,,,,,,Saldo 24-0033 Vernazza Autogru,,,,,,,,,,,recJkwdPURE3l9Xdf
Yacht Club Italiano,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recqgwKDA06NRd825
AIGA Genova,Associazione Italiana Giovani Avvocati  Sezione di Genova,,95068490101,Piazza Corvetto 1/8,Genova,16121,GE,"Piazza Corvetto 1/8, 16121 Genova (GE)",,,,,info@aigagenova.it,"25-0017,25-0028",2,"€1250,00",25-24,,,,,,Saldo 25-0017 AIGA Genova,,,+39010561623,,,,95068490101,95068490101,,,recAQtdAeUm3XdJvy
 Centofiori Fondazione , Centofiori Fondazione ,,92085530092,"via Pozzo Garitta, 32 ",Albissola Marina,17012  ,Savona,"via Pozzo Garitta, 32 , 17012   Albissola Marina (Savona)",,,,,,25-0024,1,"€0,00",,,,,,,,,,,,,,92085530092,92085530092,,,recZd2MzYCyuOwwSb
FIR,FEDERAZIONE ITALIANA RUGBY,02151961006,97015510585,"Piazzale Dello Stadio Olimpico, SNC,",Roma,00135,RM,"Piazzale Dello Stadio Olimpico, SNC,, 00135 Roma (RM)",,,segreteria@pec.federugby.it,,segreteria@pec.federugby.it,,0,"€0,00",,,,,,,,,,,,,,02151961006,02151961006,,,recArA3X9H4PYyYLR
Irida,Irida S.R.L.,10876301002,10876301002,P.zza Manfredo Fanti 38,Roma,00185,RM,"P.zza Manfredo Fanti 38, 00185 Roma (RM)",,,,,,25-0026,1,"€1250,00",25-27,,,,,,Saldo 25-0026 Irida,,,,,,,10876301002,10876301002,,,recHph8WMlVeo3p4b
Palazzo Ducale,Palazzo Ducale Fondazione per la Cultura,03137910109,03288320157,Piazza Matteotti 9,Genova,16123,GE,"Piazza Matteotti 9, 16123 Genova (GE)",A4707H7,,palazzoducale@pec.palazzoducale.genova.it,,palazzoducale@palazzoducale.genova.it,25-0027,1,"€26250,00",,,,,,,,,,+39010 817 1600,,,,03137910109,03137910109,,,recKc3ih2Bfvb7BZF
Comune di Genova - Sindaco,Comune di Genova - Area Gabinetto Sindaco,00856930102,,Via Garibaldi 9,Genova,16124,GE,"Via Garibaldi 9, 16124 Genova (GE)",,,,,,25-0021,1,"€48000,00",25-30,,,,,,,,,,,,,00856930102,00856930102,,,reckqWPjH0Nz68qW4
Top Pulizie,Top Pulizie srl,03047650993,,Via Piero Schiaffino 14/8,Camogli,16032,GE,"Via Piero Schiaffino 14/8, 16032 Camogli (GE)",,,,,info@toppulizie.it,25-0029,1,"€4300,00",25-29,,,,,,Saldo 25-0029 Top Pulizie,,,,,,,03047650993,03047650993,,,recqE2LhsohdCq42e
